,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1668,36,New York,NY,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1669,36,New York,NY,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
1670,36,New York,NY,1978,2.65,2.6500000953674316,2.6499999999999844,2.6500000953674316,2.65,2.6500000953674316
1671,36,New York,NY,1979,2.9,2.9000000953674316,2.8999999999999875,2.9000000953674316,2.9,2.9000000953674316
1672,36,New York,NY,1980,3.1,3.0999999046325684,3.1000000000000054,3.0999999046325684,3.1,3.0999999046325684
1673,36,New York,NY,1981,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1674,36,New York,NY,1982,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1675,36,New York,NY,1983,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1676,36,New York,NY,1984,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1677,36,New York,NY,1985,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1678,36,New York,NY,1986,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1679,36,New York,NY,1987,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1680,36,New York,NY,1988,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1681,36,New York,NY,1989,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1682,36,New York,NY,1990,3.35,3.3499999046325684,3.6890410958903854,3.6890411376953125,3.8000000000000003,3.799999952316284
1683,36,New York,NY,1991,3.8000000000000003,3.799999952316284,4.139041095890412,4.139040946960449,4.25,4.25
1684,36,New York,NY,1992,4.25,4.25,4.25,4.25,4.25,4.25
1685,36,New York,NY,1993,4.25,4.25,4.25,4.25,4.25,4.25
1686,36,New York,NY,1994,4.25,4.25,4.25,4.25,4.25,4.25
1687,36,New York,NY,1995,4.25,4.25,4.25,4.25,4.25,4.25
1688,36,New York,NY,1996,4.25,4.25,4.3756830601092895,4.375682830810547,4.75,4.75
1689,36,New York,NY,1997,4.75,4.75,4.883698630137017,4.883698463439941,5.15,5.150000095367432
